Species,Date,Buoyant,Blotted,Lyophilised,BB,LB
Saccorhiza polyschides,22.09.21,0.474,0.407,NA,0.858649789,NA
Saccorhiza polyschides,22.09.21,0.393,0.323,NA,0.821882952,NA
Saccorhiza polyschides,22.09.21,0.418,0.351,NA,0.839712919,NA
Saccorhiza polyschides,22.09.21,0.206,0.165,NA,0.800970874,NA
Saccorhiza polyschides,22.09.21,0.238,0.126,NA,0.529411765,NA
Saccorhiza polyschides,22.09.21,0.153,0.118,NA,0.77124183,NA
Saccorhiza polyschides,22.09.21,0.066,0.044,NA,0.666666667,NA
Laminaria digitata,23.09.21,13.15,11.832,NA,0.899771863,NA
Laminaria digitata,23.09.21,12.069,10.619,NA,0.879857486,NA
Laminaria digitata,23.09.21,9.393,8.108,NA,0.863195997,NA
Laminaria digitata,23.09.21,2.282,1.837,NA,0.804995618,NA
Laminaria digitata,23.09.21,2.093,1.638,NA,0.782608696,NA
Laminaria digitata,23.09.21,3.446,2.759,NA,0.800638421,NA
Laminaria digitata,23.09.21,1.142,0.846,NA,0.740805604,NA
Laminaria digitata,23.09.21,4.061,3.698,NA,0.910613149,NA
Laminaria digitata,23.09.21,5.211,4.63,NA,0.888505085,NA
Laminaria digitata,23.09.21,4.532,4.103,NA,0.905339806,NA
Laminaria digitata,23.09.21,7.267,6.237,NA,0.858263382,NA
Laminaria digitata,23.09.21,4.008,3.321,NA,0.828592814,NA
Laminaria digitata,23.09.21,3.656,3.049,NA,0.833971554,NA
Laminaria digitata,23.09.21,2.872,2.405,NA,0.837395543,NA
Laminaria digitata,23.09.21,2.609,2.161,NA,0.8282867,NA
Laminaria digitata,23.09.21,1.899,1.639,NA,0.863085835,NA
Laminaria digitata,23.09.21,2.295,1.984,NA,0.864488017,NA
Laminaria digitata,23.09.21,1.216,0.967,NA,0.795230263,NA
Laminaria digitata,23.09.21,1.961,1.645,NA,0.838857726,NA
Laminaria digitata,23.09.21,1.224,0.787,NA,0.642973856,NA
Laminaria digitata,23.09.21,1.032,0.869,NA,0.842054264,NA
Laminaria digitata,23.09.21,2.311,1.935,NA,0.83729987,NA
Laminaria digitata,23.09.21,0.713,0.514,NA,0.720897616,NA
Laminaria digitata,23.09.21,0.409,0.31,NA,0.75794621,NA
Laminaria digitata,23.09.21,0.621,0.491,NA,0.790660225,NA
Laminaria digitata,23.09.21,0.668,0.475,NA,0.711077844,NA
Laminaria digitata,23.09.21,0.475,0.352,NA,0.741052632,NA
Laminaria digitata,23.09.21,0.258,0.121,NA,0.468992248,NA
Laminaria digitata,23.09.21,0.149,0.099,NA,0.66442953,NA
Laminaria digitata,23.09.21,0.192,0.088,NA,0.458333333,NA
Laminaria hyperborea,23.09.21,14.264,12.169,NA,0.853126753,NA
Laminaria hyperborea,23.09.21,12.153,10.862,NA,0.893771085,NA
Laminaria hyperborea,23.09.21,8.759,7.435,NA,0.848841192,NA
Laminaria hyperborea,23.09.21,9.943,8.282,NA,0.832947802,NA
Laminaria hyperborea,23.09.21,11.545,10.239,NA,0.886877436,NA
Laminaria hyperborea,23.09.21,8.766,7.648,NA,0.872461784,NA
Laminaria hyperborea,23.09.21,7.233,6.341,NA,0.876676345,NA
Laminaria hyperborea,23.09.21,4.69,3.869,NA,0.824946695,NA
Laminaria hyperborea,23.09.21,4.273,3.726,NA,0.871986894,NA
Laminaria hyperborea,23.09.21,3.772,2.905,NA,0.770148462,NA
Laminaria hyperborea,23.09.21,4.742,3.919,NA,0.826444538,NA
Laminaria hyperborea,23.09.21,2.694,2.297,NA,0.852635486,NA
Laminaria hyperborea,23.09.21,2.249,1.592,NA,0.707870165,NA
Laminaria hyperborea,23.09.21,3.115,2.347,NA,0.753451043,NA
Laminaria hyperborea,23.09.21,2.968,2.515,NA,0.847371968,NA
Laminaria hyperborea,23.09.21,2.95,1.866,NA,0.632542373,NA
Laminaria hyperborea,23.09.21,2.923,2.364,NA,0.808758125,NA
Laminaria hyperborea,23.09.21,3.302,2.568,NA,0.777710478,NA
Laminaria hyperborea,23.09.21,2.134,1.207,NA,0.565604499,NA
Laminaria hyperborea,23.09.21,2.653,1.836,NA,0.69204674,NA
Laminaria hyperborea,23.09.21,1.723,0.954,NA,0.553685432,NA
Laminaria hyperborea,23.09.21,1.39,0.961,NA,0.691366906,NA
Laminaria hyperborea,23.09.21,1.24,0.801,NA,0.645967742,NA
Laminaria hyperborea,23.09.21,1.154,0.781,NA,0.67677643,NA
Laminaria hyperborea,23.09.21,0.527,0.335,NA,0.635673624,NA
Laminaria hyperborea,23.09.21,0.508,0.305,NA,0.600393701,NA
Laminaria hyperborea,23.09.21,0.602,0.355,NA,0.589700997,NA
Laminaria hyperborea,23.09.21,0.19,0.103,NA,0.542105263,NA
Laminaria hyperborea,23.09.21,0.168,0.09,NA,0.535714286,NA
Laminaria hyperborea,23.09.21,0.051,0.036,NA,0.705882353,NA
Saccharina latissima,23.09.21,2.433,2.091,NA,0.859432799,NA
Saccharina latissima,23.09.21,4.02,3.769,NA,0.937562189,NA
Saccharina latissima,23.09.21,6.693,5.642,NA,0.842970267,NA
Saccharina latissima,23.09.21,3.511,3.111,NA,0.886072344,NA
Saccharina latissima,23.09.21,3.802,3.625,NA,0.953445555,NA
Saccharina latissima,23.09.21,5.374,4.831,NA,0.898957946,NA
Saccharina latissima,23.09.21,5.205,4.594,NA,0.882612872,NA
Saccharina latissima,23.09.21,3.009,2.733,NA,0.908275174,NA
Saccharina latissima,23.09.21,6.814,5.849,NA,0.858379806,NA
Saccharina latissima,23.09.21,2.936,2.439,NA,0.830722071,NA
Saccharina latissima,23.09.21,4.436,3.958,NA,0.892245266,NA
Saccharina latissima,23.09.21,2.279,1.966,NA,0.862659061,NA
Saccharina latissima,23.09.21,5.554,4.577,NA,0.824090745,NA
Saccharina latissima,23.09.21,1.097,0.885,NA,0.80674567,NA
Saccharina latissima,23.09.21,1.924,1.784,NA,0.927234927,NA
Saccharina latissima,23.09.21,1.337,1.226,NA,0.91697831,NA
Saccharina latissima,23.09.21,0.457,0.379,NA,0.829321663,NA
Saccharina latissima,23.09.21,0.489,0.415,NA,0.848670757,NA
Saccharina latissima,23.09.21,0.709,0.586,NA,0.82651622,NA
Saccharina latissima,23.09.21,0.59,0.51,NA,0.86440678,NA
Saccharina latissima,23.09.21,0.542,0.46,NA,0.848708487,NA
Saccharina latissima,23.09.21,0.451,0.39,NA,0.864745011,NA
Saccharina latissima,23.09.21,0.436,0.382,NA,0.876146789,NA
Saccharina latissima,23.09.21,0.31,0.252,NA,0.812903226,NA
Saccharina latissima,23.09.21,0.118,0.129,NA,1.093220339,NA
Saccharina latissima,23.09.21,0.102,0.074,NA,0.725490196,NA
Saccharina latissima,23.09.21,0.111,0.044,NA,0.396396396,NA
Saccharina latissima,23.09.21,0.81,0.724,NA,0.89382716,NA
Saccharina latissima,23.09.21,1.273,1.13,NA,0.887666929,NA
Saccharina latissima,23.09.21,1.298,1.08,NA,0.832049307,NA
Saccorhiza polyschides,23.09.21,6.901,6.339,NA,0.918562527,NA
Saccorhiza polyschides,23.09.21,7.015,6.607,NA,0.941838917,NA
Saccorhiza polyschides,23.09.21,5.582,5.028,NA,0.900752418,NA
Saccorhiza polyschides,23.09.21,5.327,4.746,NA,0.890932983,NA
Saccorhiza polyschides,23.09.21,11.485,10.747,NA,0.935742273,NA
Saccorhiza polyschides,23.09.21,3.763,3.344,NA,0.888652671,NA
Saccorhiza polyschides,23.09.21,4.335,3.957,NA,0.912802768,NA
Saccorhiza polyschides,23.09.21,1.785,1.604,NA,0.89859944,NA
Saccorhiza polyschides,23.09.21,2.882,2.546,NA,0.883414296,NA
Saccorhiza polyschides,23.09.21,2.261,2.041,NA,0.902697921,NA
Saccorhiza polyschides,23.09.21,1.618,1.435,NA,0.886897404,NA
Saccorhiza polyschides,23.09.21,1.736,1.551,NA,0.89343318,NA
Saccorhiza polyschides,23.09.21,1.467,1.323,NA,0.901840491,NA
Saccorhiza polyschides,23.09.21,2.53,1.935,NA,0.764822134,NA
Saccorhiza polyschides,23.09.21,1.76,1.565,NA,0.889204545,NA
Saccorhiza polyschides,23.09.21,1.494,1.351,NA,0.904283802,NA
Saccorhiza polyschides,23.09.21,0.911,0.75,NA,0.823271131,NA
Saccorhiza polyschides,23.09.21,0.912,0.765,NA,0.838815789,NA
Saccorhiza polyschides,23.09.21,1.067,0.95,NA,0.890346767,NA
Saccorhiza polyschides,23.09.21,0.557,0.485,NA,0.870736086,NA
Saccorhiza polyschides,23.09.21,0.569,0.499,NA,0.876977153,NA
Saccorhiza polyschides,23.09.21,0.616,0.539,NA,0.875,NA
Saccorhiza polyschides,23.09.21,0.533,0.456,NA,0.855534709,NA
Saccorhiza polyschides,23.09.21,0.349,0.264,NA,0.756446991,NA
Saccorhiza polyschides,23.09.21,0.586,0.521,NA,0.889078498,NA
Saccorhiza polyschides,23.09.21,0.481,0.404,NA,0.83991684,NA
Saccorhiza polyschides,23.09.21,0.377,0.317,NA,0.840848806,NA
Saccorhiza polyschides,23.09.21,0.387,0.335,NA,0.865633075,NA
Saccorhiza polyschides,23.09.21,0.214,0.163,NA,0.761682243,NA
Saccorhiza polyschides,23.09.21,0.108,0.076,NA,0.703703704,NA
Laminaria digitata,07.10.21,2.845,2.696,NA,0.947627417,NA
Laminaria digitata,07.10.21,2.737,2.439,NA,0.891121666,NA
Laminaria digitata,07.10.21,2.621,2.368,NA,0.903471957,NA
Laminaria digitata,07.10.21,2.379,2.094,NA,0.880201765,NA
Laminaria digitata,07.10.21,3.301,2.788,NA,0.844592548,NA
Laminaria digitata,07.10.21,2.171,2.039,NA,0.939198526,NA
Laminaria digitata,07.10.21,2.261,2.058,NA,0.910216718,NA
Laminaria digitata,07.10.21,3.33,2.862,NA,0.859459459,NA
Laminaria digitata,07.10.21,2.563,2.266,NA,0.884120172,NA
Laminaria digitata,07.10.21,2.684,2.412,NA,0.898658718,NA
Laminaria hyperborea,07.10.21,8.276,5.972,NA,0.72160464,NA
Laminaria hyperborea,07.10.21,4.282,2.647,NA,0.61816908,NA
Laminaria hyperborea,07.10.21,2.901,2.402,NA,0.827990348,NA
Laminaria hyperborea,07.10.21,3.368,2.728,NA,0.809976247,NA
Laminaria hyperborea,07.10.21,2.732,2.491,NA,0.911786237,NA
Laminaria hyperborea,07.10.21,2.604,2.112,NA,0.811059908,NA
Laminaria hyperborea,07.10.21,3.079,2.554,NA,0.829490094,NA
Laminaria hyperborea,07.10.21,3.528,2.877,NA,0.81547619,NA
Laminaria hyperborea,07.10.21,4.485,2.83,NA,0.630992196,NA
Laminaria hyperborea,07.10.21,4.973,3.062,NA,0.615724915,NA
Saccharina latissima,07.10.21,2.882,2.406,NA,0.834836919,NA
Saccharina latissima,07.10.21,2.189,1.842,NA,0.841480128,NA
Saccharina latissima,07.10.21,3.676,3.285,NA,0.893634385,NA
Saccharina latissima,07.10.21,3.115,2.891,NA,0.928089888,NA
Saccharina latissima,07.10.21,1.316,1.061,NA,0.806231003,NA
Saccharina latissima,07.10.21,2.583,2.226,NA,0.861788618,NA
Saccharina latissima,07.10.21,2.636,2.187,NA,0.829666161,NA
Saccharina latissima,07.10.21,3.702,3.328,NA,0.898973528,NA
Saccharina latissima,07.10.21,3.337,3.029,NA,0.907701528,NA
Saccharina latissima,07.10.21,3.416,3.107,NA,0.909543326,NA
Saccorhiza polyschides,07.10.21,3.417,3.064,NA,0.896693006,NA
Saccorhiza polyschides,07.10.21,3.906,3.464,NA,0.886840758,NA
Saccorhiza polyschides,07.10.21,2.336,2.007,NA,0.859160959,NA
Saccorhiza polyschides,07.10.21,2.689,2.362,NA,0.878393455,NA
Saccorhiza polyschides,07.10.21,2.899,2.567,NA,0.885477751,NA
Saccorhiza polyschides,07.10.21,2.445,2.085,NA,0.852760736,NA
Saccorhiza polyschides,07.10.21,2.409,2.088,NA,0.866749689,NA
Saccorhiza polyschides,07.10.21,2.827,2.492,NA,0.881499823,NA
Saccorhiza polyschides,07.10.21,2.862,2.483,NA,0.867575122,NA
Saccorhiza polyschides,07.10.21,2.994,2.607,NA,0.870741483,NA
Laminaria digitata,21.10.21,2.794,2.236,NA,0.800286328,NA
Laminaria digitata,21.10.21,3.107,2.425,NA,0.780495655,NA
Laminaria digitata,21.10.21,2.768,2.304,NA,0.832369942,NA
Laminaria digitata,21.10.21,2.691,2.157,NA,0.801560758,NA
Laminaria digitata,21.10.21,3.055,2.389,NA,0.781996727,NA
Laminaria hyperborea,21.10.21,3.152,2.788,NA,0.884517766,NA
Laminaria hyperborea,21.10.21,3.317,2.826,NA,0.851974676,NA
Laminaria hyperborea,21.10.21,3.165,2.765,NA,0.873617694,NA
Laminaria hyperborea,21.10.21,2.685,2.301,NA,0.85698324,NA
Laminaria hyperborea,21.10.21,2.619,2.282,NA,0.871324933,NA
Saccharina latissima,21.10.21,1.536,1.316,NA,0.856770833,NA
Saccharina latissima,21.10.21,1.857,1.548,NA,0.833602585,NA
Saccharina latissima,21.10.21,2.144,1.832,NA,0.854477612,NA
Saccharina latissima,21.10.21,1.75,1.428,NA,0.816,NA
Saccharina latissima,21.10.21,1.895,1.537,NA,0.811081794,NA
Saccorhiza polyschides,21.10.21,7.061,6.176,NA,0.874663645,NA
Saccorhiza polyschides,21.10.21,4.004,2.886,NA,0.720779221,NA
Saccorhiza polyschides,21.10.21,3.155,2.62,NA,0.830427892,NA
Saccorhiza polyschides,21.10.21,3.288,2.773,NA,0.84336983,NA
Saccorhiza polyschides,21.10.21,3.338,2.594,NA,0.777112043,NA
Laminaria digitata,22.10.21,2.691,2.18,0.41,0.810107767,0.188073394
Laminaria digitata,22.10.21,3.14,2.703,0.493,0.860828025,0.182389937
Laminaria digitata,22.10.21,3.01,2.546,0.405,0.845847176,0.159073056
Laminaria digitata,22.10.21,2.852,2.374,0.457,0.832398317,0.192502106
Laminaria hyperborea,22.10.21,3.319,2.753,0.841,0.829466707,0.305484926
Laminaria hyperborea,22.10.21,3.537,3.074,0.962,0.869098106,0.3129473
Laminaria hyperborea,22.10.21,3.422,3.001,0.878,0.876972531,0.292569144
Laminaria hyperborea,22.10.21,3.468,2.938,0.916,0.847174164,0.311776719
Saccharina latissima,22.10.21,3.36,3.082,0.523,0.917261905,0.169695003
Saccharina latissima,22.10.21,3.412,3.234,0.562,0.947831184,0.173778602
Saccharina latissima,22.10.21,3.173,2.929,0.536,0.923101166,0.18299761
Saccharina latissima,22.10.21,3.454,3.253,0.545,0.941806601,0.167537658
Saccorhiza polyschides,22.10.21,6.459,6.083,0.726,0.941786654,0.119349005
Saccorhiza polyschides,22.10.21,2.977,2.742,0.253,0.921061471,0.092268417
Saccorhiza polyschides,22.10.21,3.199,2.963,0.275,0.926226946,0.09281134
Saccorhiza polyschides,22.10.21,3.457,3.222,0.299,0.932021984,0.092799503
Laminaria digitata,22.11.21,10.073,9.218,1.571,0.915119627,0.170427425
Laminaria hyperborea,22.11.21,16.661,14.725,3.807,0.883800492,0.258539898
Saccharina latissima,22.11.21,10.649,10.143,1.232,0.952483801,0.121463078
Saccharina latissima,22.11.21,10.729,10.048,1.422,0.936527169,0.141520701
Saccorhiza polyschides,22.11.21,11.748,11.474,1.017,0.976676881,0.088635175
Laminaria digitata,24.09.21,NA,2.836,0.453,NA,0.159732017
Laminaria digitata,24.09.21,NA,2.724,0.559,NA,0.205212922
Laminaria digitata,24.09.21,NA,2.641,0.36,NA,0.136312003
Laminaria digitata,24.09.21,NA,2.906,0.39,NA,0.134205093
Laminaria digitata,24.09.21,NA,2.753,0.5,NA,0.181620051
Laminaria digitata,24.09.21,NA,2.749,0.576,NA,0.209530738
Laminaria digitata,24.09.21,NA,2.478,0.397,NA,0.160209847
Laminaria digitata,24.09.21,NA,2.137,0.308,NA,0.144127281
Laminaria digitata,24.09.21,NA,2.518,0.338,NA,0.134233519
Laminaria digitata,24.09.21,NA,2.252,0.301,NA,0.13365897
Laminaria hyperborea,24.09.21,NA,2.816,0.528,NA,0.1875
Laminaria hyperborea,24.09.21,NA,2.668,0.517,NA,0.193778111
Laminaria hyperborea,24.09.21,NA,2.623,0.508,NA,0.193671369
Laminaria hyperborea,24.09.21,NA,2.444,0.472,NA,0.193126023
Laminaria hyperborea,24.09.21,NA,2.583,0.496,NA,0.192024777
Laminaria hyperborea,24.09.21,NA,2.584,0.437,NA,0.169117647
Laminaria hyperborea,24.09.21,NA,2.519,0.459,NA,0.182215165
Laminaria hyperborea,24.09.21,NA,2.531,0.533,NA,0.2105887
Laminaria hyperborea,24.09.21,NA,2.62,0.567,NA,0.216412214
Laminaria hyperborea,24.09.21,NA,2.74,0.444,NA,0.162043796
Saccharina latissima,24.09.21,NA,2.743,0.545,NA,0.198687568
Saccharina latissima,24.09.21,NA,2.666,0.567,NA,0.21267817
Saccharina latissima,24.09.21,NA,2.331,0.603,NA,0.258687259
Saccharina latissima,24.09.21,NA,2.752,0.444,NA,0.161337209
Saccharina latissima,24.09.21,NA,2.667,0.665,NA,0.249343832
Saccharina latissima,24.09.21,NA,2.484,0.46,NA,0.185185185
Saccharina latissima,24.09.21,NA,2.81,0.412,NA,0.146619217
Saccharina latissima,24.09.21,NA,2.504,0.547,NA,0.218450479
Saccharina latissima,24.09.21,NA,2.52,0.328,NA,0.13015873
Saccharina latissima,24.09.21,NA,2.799,0.486,NA,0.173633441
Saccorhiza polyschides,24.09.21,NA,2.047,0.226,NA,0.110405471
Saccorhiza polyschides,24.09.21,NA,2.078,0.229,NA,0.110202117
Saccorhiza polyschides,24.09.21,NA,1.87,0.216,NA,0.115508021
Saccorhiza polyschides,24.09.21,NA,1.774,0.176,NA,0.099210823
Saccorhiza polyschides,24.09.21,NA,2.06,0.217,NA,0.105339806
Saccorhiza polyschides,24.09.21,NA,1.671,0.167,NA,0.099940156
Saccorhiza polyschides,24.09.21,NA,2.945,0.411,NA,0.139558574
Saccorhiza polyschides,24.09.21,NA,1.818,0.218,NA,0.119911991
Saccorhiza polyschides,24.09.21,NA,1.916,0.199,NA,0.103862213
Saccorhiza polyschides,24.09.21,NA,2.368,0.256,NA,0.108108108
Laminaria digitata,29.09.21,NA,2.692,0.366,NA,0.135958395
Laminaria digitata,29.09.21,NA,2.575,0.407,NA,0.158058252
Laminaria digitata,29.09.21,NA,2.827,0.416,NA,0.147152458
Laminaria hyperborea,29.09.21,NA,3.543,1.125,NA,0.317527519
Laminaria hyperborea,29.09.21,NA,3.035,0.838,NA,0.276112026
Laminaria hyperborea,29.09.21,NA,3.392,0.849,NA,0.250294811
Saccharina latissima,29.09.21,NA,3.008,0.55,NA,0.182845745
Saccharina latissima,29.09.21,NA,2.641,0.447,NA,0.16925407
Saccharina latissima,29.09.21,NA,3.19,0.599,NA,0.187774295
Saccorhiza polyschides,29.09.21,NA,5.407,0.507,NA,0.093767339
Saccorhiza polyschides,29.09.21,NA,6.656,0.794,NA,0.119290865
Saccorhiza polyschides,29.09.21,NA,4.687,0.438,NA,0.093449968
Laminaria digitata,07.10.21,NA,24.993,3.057,NA,0.122314248
Laminaria digitata,07.10.21,NA,36.873,5.635,NA,0.152821848
Laminaria digitata,07.10.21,NA,27.161,5.128,NA,0.188800118
Laminaria digitata,07.10.21,NA,26.306,3.318,NA,0.126130921
Laminaria digitata,07.10.21,NA,37.562,5.567,NA,0.148208296
Laminaria digitata,07.10.21,NA,24.761,4.379,NA,0.176850693
Laminaria digitata,07.10.21,NA,20.326,3.679,NA,0.180999705
Laminaria digitata,07.10.21,NA,21.961,2.69,NA,0.122489868
Laminaria hyperborea,07.10.21,NA,31.793,8.157,NA,0.256565911
Laminaria hyperborea,07.10.21,NA,34.008,8.25,NA,0.242589979
Laminaria hyperborea,07.10.21,NA,23.604,6.121,NA,0.259320454
Laminaria hyperborea,07.10.21,NA,28.582,7.086,NA,0.24791827
Laminaria hyperborea,07.10.21,NA,31.403,6.853,NA,0.218227558
Laminaria hyperborea,07.10.21,NA,28.01,9.348,NA,0.333737951
Laminaria hyperborea,07.10.21,NA,31.543,8.958,NA,0.283993279
Laminaria hyperborea,07.10.21,NA,33.143,10.696,NA,0.322722747
Saccharina latissima,07.10.21,NA,18.243,3.694,NA,0.202488626
Saccharina latissima,07.10.21,NA,20.673,3.172,NA,0.15343685
Saccharina latissima,07.10.21,NA,23.33,3.58,NA,0.153450493
Saccharina latissima,07.10.21,NA,20.943,4.404,NA,0.210285059
Saccharina latissima,07.10.21,NA,23.662,4.3,NA,0.181725974
Saccharina latissima,07.10.21,NA,25.675,5.738,NA,0.223485881
Saccharina latissima,07.10.21,NA,24.076,3.549,NA,0.147408207
Saccharina latissima,07.10.21,NA,34.784,9.538,NA,0.274206532
Saccorhiza polyschides,07.10.21,NA,20.535,2.002,NA,0.097492087
Saccorhiza polyschides,07.10.21,NA,18.538,1.478,NA,0.079728126
Saccorhiza polyschides,07.10.21,NA,31.097,4.024,NA,0.12940155
Saccorhiza polyschides,07.10.21,NA,13.784,1.065,NA,0.077263494
Saccorhiza polyschides,07.10.21,NA,44.27,6.292,NA,0.142127852
Saccorhiza polyschides,07.10.21,NA,43.396,3.808,NA,0.087750023
Saccorhiza polyschides,07.10.21,NA,31.781,2.863,NA,0.090085271
Saccorhiza polyschides,07.10.21,NA,31.66,3.2,NA,0.10107391
Laminaria digitata,21.10.21,NA,2.482,0.326,NA,0.131345689
Laminaria digitata,21.10.21,NA,2.521,0.333,NA,0.13209044
Laminaria digitata,21.10.21,NA,2.287,0.298,NA,0.130301705
Laminaria digitata,21.10.21,NA,2.321,0.302,NA,0.130116329
Laminaria hyperborea,21.10.21,NA,3.007,1.038,NA,0.345194546
Laminaria hyperborea,21.10.21,NA,3.392,1.131,NA,0.333431604
Laminaria hyperborea,21.10.21,NA,3.038,1.123,NA,0.369651086
Laminaria hyperborea,21.10.21,NA,2.744,1.03,NA,0.375364431
Saccharina latissima,21.10.21,NA,1.89,0.199,NA,0.105291005
Saccharina latissima,21.10.21,NA,2.287,0.249,NA,0.108876257
Saccharina latissima,21.10.21,NA,1.378,0.161,NA,0.116835994
Saccharina latissima,21.10.21,NA,2.292,0.246,NA,0.107329843
Saccorhiza polyschides,21.10.21,NA,2.334,0.231,NA,0.098971722
Saccorhiza polyschides,21.10.21,NA,2.89,0.28,NA,0.096885813
Saccorhiza polyschides,21.10.21,NA,2.454,0.236,NA,0.096169519
Saccorhiza polyschides,21.10.21,NA,2.193,0.212,NA,0.096671227
Laminaria digitata,01.11.21,NA,2.202,0.354,NA,0.160762943
